phone,school,region
+17136403700,EARLY COLLEGE STEM ACADEMY,Texas Charter
+18068782103,EARLY LEARNING ACADEMY,Texas Charter
+12106347302,EAST CENTRAL CAST LEAD H S,Texas Charter
+18174963003,EAST FORT WORTH MONTESSORI ACADEMY,Texas Charter
+12148244747,EAST GRAND PREPARATORY ACADEMY,Texas Charter
+19038035000,EAST TEXAS MONTESSORI PREP ACADEMY,Texas Charter
+12816714931,EASTEX-JENSEN NEIGHBORHOOD SCHOOL,Texas Charter
+12102281235,EDGAR ALLAN POE STEM DUAL LANGUAGE MIDDLE,Texas Charter
+12146289152,EDUCATION CENTER INTERNATIONAL ACADEMY 1,Texas Charter
+19724128080,EDUCATION CENTER INTERNATIONAL ACADEMY 2,Texas Charter
+14098398200,EHRHART SCHOOL,Texas Charter
+19155908589,EL PASO ACADEMY,Texas Charter
+19158457997,EL PASO ACADEMY WEST,Texas Charter
+19152983900,EL PASO LEADERSHIP ACADEMY,Texas Charter
+12108907267,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,Texas Charter
+13462341434,ELEVATE COLLEGIATE,Texas Charter
+12817794412,ENERGIZED FOR EXCELLENCE ACADEMY ECC,Texas Charter
+17137733600,ENERGIZED FOR EXCELLENCE ACADEMY EL,Texas Charter
+17133943550,ENERGIZED FOR STEM ACADEMY H S,Texas Charter
+12109975636,ESSENCE PREPARATORY CHARTER SCHOOL,Texas Charter
+17139951612,ETOILE ACADEMY CHARTER SCHOOL,Texas Charter
+17132658657,ETOILE ACADEMY CHARTER SCHOOL-BISSONNET,Texas Charter
+19729073755,EVOLUTION ACADEMY BEAUMONT,Texas Charter
+17132224577,EXCEL ACADEMY EDUCATION TRANSITION CENTER,Texas Charter
+19564249504,EXCELLENCE IN LEADERSHIP ACADEMY,Texas Charter
+19722244110,FAITH FAMILY MASTER ACADEMY,Texas Charter
+14096176400,FEHL-PRICE EL,Texas Charter
+12104386540,FENWICK ACADEMY,Texas Charter
+18069834970,FLOYDADA COLLEGIATE H S,Texas Charter
+18069832161,FLOYDADA COLLEGIATE J H,Texas Charter
+18178158200,FOREST OAK MIDDLE,Texas Charter
+19034462510,FOREST PARK MAGNET SCHOOL,Texas Charter
+18179241482,FORT WORTH ACADEMY OF FINE ARTS,Texas Charter
+19034462710,FOSTER MIDDLE,Texas Charter
+12104020253,FOUNDATION SCHOOL OF AUTISM - SAN ANTONIO,Texas Charter
+14694516543,FOUNDERS CLASSICAL ACADEMY - CONROE,Texas Charter
+19723305844,FOUNDERS CLASSICAL ACADEMY - FRISCO,Texas Charter
+19403211144,FOUNDERS CLASSICAL ACADEMY CORINTH - UPPER SCHOOL,Texas Charter
+14693902061,FOUNDERS CLASSICAL ACADEMY OF PROSPER,Texas Charter
+19722452900,FOUNDERS CLASSICAL ACADEMY- CARROLLTON,Texas Charter
+17375000600,FOUNDERS CLASSICAL ACADEMY-BASTROP,Texas Charter
+12107389730,FOX TECHNICAL H S,Texas Charter
+12104863686,FRANK L MADLA EARLY COLLEGE H S,Texas Charter
+12108984190,GARDENDALE PRE-K 4 SA EARLY LEARNING,Texas Charter
+12143752039,GATEWAY CHARTER ACADEMY,Texas Charter
+12143751921,GATEWAY CHARTER ACADEMY - MIDDLE - H S,Texas Charter
+15128684947,GATEWAY COLLEGE PREPARATORY SCHOOL,Texas Charter
+15128685299,GATEWAY TECH H S,Texas Charter
+12105688800,GEORGE GERVIN ACADEMY,Texas Charter
+17139261112,GEORGE I SANCHEZ CHARTER,Texas Charter
+17137420374,GEORGE I SANCHEZ NORTH,Texas Charter
+15127514534,GEORGETOWN BEHAVIORAL HEALTH INSTITUTE,Texas Charter
+12143339330,GOLDEN RULE,Texas Charter
+14692484463,GOLDEN RULE DESOTO,Texas Charter
+15129665484,GOODWATER MONTESSORI SCHOOL,Texas Charter
+19723433120,GRAND PRAIRIE COLLEGIATE INSTITUTE,Texas Charter
+18172600890,GREAT HEARTS ARLINGTON,Texas Charter
+12108923665,GREAT HEARTS FOREST HEIGHTS,Texas Charter
+12108991118,GREAT HEARTS INVICTUS,Texas Charter
+14697593030,GREAT HEARTS IRVING,Texas Charter
+14697250014,GREAT HEARTS IRVING UPPER,Texas Charter
+18174099098,GREAT HEARTS LAKESIDE,Texas Charter
+12108889474,GREAT HEARTS LIVE OAK,Texas Charter
+12108889485,GREAT HEARTS MONTE VISTA,Texas Charter
+12108889483,GREAT HEARTS NORTHERN OAKS,Texas Charter
+12104693828,GREAT HEARTS ONLINE - TX,Texas Charter
+18172590738,GREAT HEARTS PRAIRIE VIEW,Texas Charter
+12108889488,GREAT HEARTS WESTERN HILLS,Texas Charter
+15123665529,GREENLEAF NCC,Texas Charter
+12105193840,GREG A GARCIA EARLY COLLEGE INT,Texas Charter
+12108984160,GUS GARCIA MIDDLE,Texas Charter
+13255763191,HAMLIN COLLEGIATE EL,Texas Charter
+13255763624,HAMLIN COLLEGIATE H S,Texas Charter
+12818552500,HARMONY SCHOOL OF ACHIEVEMENT - HOUSTON,Texas Charter
+12817418899,HARMONY SCHOOL OF ADVANCEMENT-HOUSTON,Texas Charter
+12818615105,HARMONY SCHOOL OF DISCOVERY - HOUSTON,Texas Charter
+15122849880,HARMONY SCHOOL OF ENDEAVOR AUSTIN,Texas Charter
+12819998400,HARMONY SCHOOL OF ENDEAVOR-HOUSTON,Texas Charter
+12819990606,HARMONY SCHOOL OF ENRICHMENT - HOUSTON,Texas Charter
+15126930000,HARMONY SCHOOL OF EXCELLENCE - AUSTIN,Texas Charter
+19722961000,HARMONY SCHOOL OF EXCELLENCE - DALLAS,Texas Charter
+19153074412,HARMONY SCHOOL OF EXCELLENCE - EL PASO,Texas Charter
+18324371043,HARMONY SCHOOL OF EXCELLENCE - KATY,Texas Charter
+19567910007,HARMONY SCHOOL OF EXCELLENCE - LAREDO,Texas Charter
+12106457166,HARMONY SCHOOL OF EXCELLENCE - SAN ANTONIO,Texas Charter
+18325320728,HARMONY SCHOOL OF EXCELLENCE - SUGAR LAND,Texas Charter
+17139838668,HARMONY SCHOOL OF EXCELLENCE-HOUSTON,Texas Charter
+18328317406,HARMONY SCHOOL OF EXPLORATION- HOUSTON,Texas Charter
+18324337001,HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY-HOUSTON,Texas Charter
+17136641020,HARMONY SCHOOL OF INGENUITY-HOUSTON,Texas Charter
+15123300895,HARMONY SCHOOL OF INNOVATION - AUSTIN,Texas Charter
+19565749555,HARMONY SCHOOL OF INNOVATION - BROWNSVILLE,Texas Charter
+14698925556,HARMONY SCHOOL OF INNOVATION - CARROLLTON,Texas Charter
+12143210100,HARMONY SCHOOL OF INNOVATION - DALLAS,Texas Charter
+19157572929,HARMONY SCHOOL OF INNOVATION - EL PASO,Texas Charter
+18173865505,HARMONY SCHOOL OF INNOVATION - FORT WORTH,Texas Charter
+14698140059,HARMONY SCHOOL OF INNOVATION - GARLAND,Texas Charter
+19722696181,HARMONY SCHOOL OF INNOVATION - GRAND PRAIRIE,Texas Charter
+17135413030,HARMONY SCHOOL OF INNOVATION - HOUSTON,Texas Charter
+12813929000,HARMONY SCHOOL OF INNOVATION - KATY,Texas Charter
+19565689492,HARMONY SCHOOL OF INNOVATION - LAREDO,Texas Charter
+12102651575,HARMONY SCHOOL OF INNOVATION - SAN ANTONIO,Texas Charter
+12542350321,HARMONY SCHOOL OF INNOVATION - WACO,Texas Charter
+18175542800,HARMONY SCHOOL OF INNOVATION- EULESS,Texas Charter
+12813026445,HARMONY SCHOOL OF INNOVATION-SUGAR LAND,Texas Charter
+15128211700,HARMONY SCHOOL OF SCIENCE - AUSTIN,Texas Charter
+19156265086,HARMONY SCHOOL OF SCIENCE - EL PASO,Texas Charter
+12102679954,HARMONY SCHOOL OF SCIENCE- SAN ANTONIO,Texas Charter
+12814441555,HARMONY SCHOOL OF TECHNOLOGY-HOUSTON,Texas Charter
+19158594620,HARMONY SCIENCE ACAD (EL PASO),Texas Charter
+12106747788,HARMONY SCIENCE ACAD (SAN ANTONIO),Texas Charter
+12547517878,HARMONY SCIENCE ACAD (WACO),Texas Charter
+15128357900,HARMONY SCIENCE ACADEMY - AUSTIN,Texas Charter
+19797792100,HARMONY SCIENCE ACADEMY - BRYAN,Texas Charter
+19723949560,HARMONY SCIENCE ACADEMY - CARROLLTON,Texas Charter
+15124945151,HARMONY SCIENCE ACADEMY - CEDAR PARK,Texas Charter
+17132581641,HARMONY SCIENCE ACADEMY - CYPRESS,Texas Charter
+19722349993,HARMONY SCIENCE ACADEMY - DALLAS,Texas Charter
+18173543000,HARMONY SCIENCE ACADEMY - EULESS,Texas Charter
+19722124777,HARMONY SCIENCE ACADEMY - GARLAND,Texas Charter
+19726429911,HARMONY SCIENCE ACADEMY - GRAND PRAIRIE,Texas Charter
+19567121177,HARMONY SCIENCE ACADEMY - LAREDO,Texas Charter
+18067471000,HARMONY SCIENCE ACADEMY - LUBBOCK,Texas Charter
+14323636000,HARMONY SCIENCE ACADEMY - ODESSA,Texas Charter
+19725960041,HARMONY SCIENCE ACADEMY - PLANO,Texas Charter
+14098384000,HARMONY SCIENCE ACADEMY- BEAUMONT,Texas Charter
+18172630700,HARMONY SCIENCE ACADEMY- FORT WORTH,Texas Charter
+17134920214,HARMONY SCIENCE ACADEMY-HOUSTON,Texas Charter
+18324373926,HARMONY SCIENCE ACADEMY-KATY,Texas Charter
+15122515000,HARMONY SCIENCE ACADEMY-PFLUGERVILLE,Texas Charter
+12812652525,HARMONY SCIENCE ACADEMY-SUGAR LAND,Texas Charter
+17137295500,HARMONY VIRTUAL ACADEMY,Texas Charter
+17132224354,HARRIS COUNTY JUVENILE DETENTION CENTER,Texas Charter
+17132224729,HARRIS COUNTY YOUTH VILLAGE,Texas Charter
+12102281220,HARRIS MIDDLE,Texas Charter
+12106385400,HAYS INSPIRE ACADEMY,Texas Charter
+19792793341,HEARNE EL,Texas Charter
+12102264031,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Texas Charter
+12103547753,HERITAGE ACADEMY,Texas Charter
+18307746230,HERITAGE ACADEMY OF DEL RIO,Texas Charter
+12105104640,HERITAGE ACADEMY OF SAN ANTONIO,Texas Charter
+18303676100,HILL COUNTRY YOUTH RANCH,Texas Charter
+19566310234,HORIZON MONTESSORI - STEM ACADEMY,Texas Charter
+19569690044,HORIZON MONTESSORI II - STEM ACADEMY,Texas Charter
+19564238200,HORIZON MONTESSORI III - STEM ACADEMY,Texas Charter
+12814852500,HORIZON MONTESSORI PEARLAND - STEM ACADEMY,Texas Charter
+17137489626,HOUSTON CLASSICAL,Texas Charter
+17136492706,HOUSTON GATEWAY ACADEMY,Texas Charter
+17139235060,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,Texas Charter
+17136448292,HOUSTON GATEWAY ACADEMY INC ELITE COLLEGE PREP,Texas Charter
+17138689797,HOUSTON HEIGHTS CHARTER SCHOOL,Texas Charter
+19155849499,HOWARD BURNHAM EL,Texas Charter
+19038035100,HUDSON EL,Texas Charter
+12549658883,HUSTON ACADEMY,Texas Charter
+19727094700,IDEA A W BROWN ACADEMY,Texas Charter
+19564640203,IDEA ACADEMY,Texas Charter
+19565884005,IDEA ACADEMY ALAMO,Texas Charter
+19565838315,IDEA ACADEMY MISSION,Texas Charter
+19562831515,IDEA ACADEMY PHARR,Texas Charter
+19563995252,IDEA ACADEMY SAN BENITO,Texas Charter
+19567025150,IDEA ACADEMY SAN JUAN,Texas Charter
+19563514100,IDEA ACADEMY WESLACO,Texas Charter
+18178854700,IDEA ACHIEVE ACADEMY,Texas Charter
+19568854700,IDEA ACHIEVE COLLEGE PREPARATORY,Texas Charter
+12102394970,IDEA AMBROSE AND FREDA ROBINSON ACADEMY,Texas Charter
+15128224200,IDEA BLUFF SPRINGS ACADEMY,Texas Charter
+12106393068,IDEA BRACKENRIDGE ACADEMY,Texas Charter
+12102394300,IDEA BRACKENRIDGE COLLEGE PREPARATORY,Texas Charter
+19568325150,IDEA BROWNSVILLE ACADEMY,Texas Charter
+12102394650,IDEA BURKE ACADEMY,Texas Charter
+12102238885,IDEA CARVER ACADEMY,Texas Charter
+19565884006,IDEA COLLEGE PREPARATORY ALAMO,Texas Charter
+19565884021,IDEA COLLEGE PREPARATORY SAN JUAN,Texas Charter
+12105293800,IDEA CONVERSE ACADEMY,Texas Charter
+19563778000,IDEA CONVERSE COLLEGE PREPARATORY,Texas Charter
+12102394800,IDEA EASTSIDE ACADEMY,Texas Charter
+18178854800,IDEA EDGECLIFF ACADEMY,Texas Charter
+12107187693,IDEA EDGECLIFF COLLEGE PREPARATORY,Texas Charter
+19152011959,IDEA EDGEMERE ACADEMY,Texas Charter
+19562876100,IDEA EDINBURG ACADEMY,Texas Charter
+19562876300,IDEA EDINBURG COLLEGE PREPARATORY,Texas Charter
+19565674700,IDEA ELSA ACADEMY,Texas Charter
+12102394850,IDEA EWING HALSELL ACADEMY,Texas Charter
+12104307595,IDEA EWING HALSELL COLLEGE PREPARATORY,Texas Charter
+19565412002,IDEA FRONTIER ACADEMY,Texas Charter
+18323607453,IDEA HARDY ACADEMY,Texas Charter
+19562723912,IDEA HARLINGEN COLLEGE PREPARATORY,Texas Charter
+15128224350,IDEA HEALTH PROFESSIONS ACADEMY,Texas Charter
+12105293900,IDEA HIDDEN MEADOW ACADEMY,Texas Charter
+19158884300,IDEA HORIZON VISTA ACADEMY,Texas Charter
+12105293700,IDEA INGRAM HILLS ACADEMY,Texas Charter
+12105293600,IDEA JUDSON ACADEMY,Texas Charter
+15128224300,IDEA KYLE ACADEMY,Texas Charter
+19567663100,IDEA LA JOYA ACADEMY,Texas Charter
+18328444700,IDEA LAKE HOUSTON ACADEMY,Texas Charter
+19564294150,IDEA LOS ENCINOS ACADEMY,Texas Charter
+12105293200,IDEA MAYS ACADEMY,Texas Charter
+19564294100,IDEA MCALLEN ACADEMY,Texas Charter
+19568888000,IDEA MESA HILLS COLLEGE PREPARATORY,Texas Charter
+19158884700,IDEA MESQUITE HILLS ACADEMY,Texas Charter
+12102394200,IDEA MONTERREY PARK ACADEMY,Texas Charter
+15126462800,IDEA MONTOPOLIS ACADEMY,Texas Charter
+12104135274,IDEA NAJIM ACADEMY,Texas Charter
+12102394900,IDEA NAJIM COLLEGE PREPARATORY,Texas Charter
+19564244300,IDEA NORTH MISSION ACADEMY,Texas Charter
+19563514959,IDEA OWASSA ACADEMY,Texas Charter
+19565884300,IDEA OWASSA COLLEGE PREPARATORY,Texas Charter
+19564244900,IDEA PALMVIEW ACADEMY,Texas Charter
+15128224850,IDEA PARMER PARK ACADEMY,Texas Charter
+15128224700,IDEA PFLUGERVILLE ACADEMY,Texas Charter
+19562871003,IDEA QUEST ACADEMY,Texas Charter
+19562634900,IDEA RIO GRANDE CITY ACADEMY,Texas Charter
+19154440188,IDEA RIO VISTA ACADEMY,Texas Charter
+18178854150,IDEA RISE ACADEMY,Texas Charter
+19568325900,IDEA RIVERVIEW ACADEMY,Texas Charter
+19568325300,IDEA ROBINDALE ACADEMY,Texas Charter
+15128224750,IDEA ROUND ROCK TECH ACADEMY,Texas Charter
+15122973974,IDEA ROUND ROCK TECH COLLEGE PREPARATORY,Texas Charter
+15128224800,IDEA RUNDBERG ACADEMY,Texas Charter
+12102394150,IDEA SOUTH FLORES ACADEMY,Texas Charter
+18178854250,IDEA SOUTHEAST ACADEMY,Texas Charter
+18323661309,IDEA SPEARS ACADEMY,Texas Charter
+19569617807,IDEA TOROS COLLEGE PREPARATORY,Texas Charter
+14322408200,IDEA TRAVIS ACADEMY,Texas Charter
+19562876900,IDEA TRES LAGOS ACADEMY,Texas Charter
+12102394600,IDEA WALZEM ACADEMY,Texas Charter
+19563514850,IDEA WESLACO PIKE ACADEMY,Texas Charter
+14322478700,IDEA YUKON ACADEMY,Texas Charter
+14094344549,IGNITE COMMUNITY SCHOOL - BEAUMONT,Texas Charter
+19728401100,IGNITE COMMUNITY SCHOOL - GARLAND,Texas Charter
+19362910203,IGNITE COMMUNITY SCHOOL - HUNTSVILLE,Texas Charter
+14099349100,IGNITE COMMUNITY SCHOOL - MAINLAND,Texas Charter
+19797012455,ILTEXAS AGGIELAND H S,Texas Charter
+18174199281,ILTEXAS ARLINGTON EL,Texas Charter
+18174960400,ILTEXAS ARLINGTON MIDDLE,Texas Charter
+16828085960,ILTEXAS ARLINGTON-GRAND PRAIRIE H S,Texas Charter
+19724799078,ILTEXAS BG RAMIREZ EL,Texas Charter
+19792648311,ILTEXAS BG RAMIREZ MIDDLE,Texas Charter
+19797046027,ILTEXAS COLLEGE STATION EL,Texas Charter
+19724148000,ILTEXAS GARLAND EL,Texas Charter
+19724143414,ILTEXAS GARLAND H S,Texas Charter
+14693489760,ILTEXAS GRAND PRAIRIE EL,Texas Charter
+14693487960,ILTEXAS GRAND PRAIRIE MIDDLE,Texas Charter
+17139879435,ILTEXAS HOUSTON OREM EL,Texas Charter
+17139444334,ILTEXAS HOUSTON WINDMILL LAKES EL,Texas Charter
+18326496817,ILTEXAS HOUSTON WINDMILL LAKES OREM H S,Texas Charter
+12813949417,ILTEXAS KATY EL,Texas Charter
+18322229470,ILTEXAS KATY WESTPARK H S,Texas Charter
+18176650646,ILTEXAS KELLER EL,Texas Charter
+16822503701,ILTEXAS KELLER SAGINAW H S,Texas Charter
+14697862850,ILTEXAS LANCASTER DESOTO H S,Texas Charter
+14698624237,ILTEXAS LANCASTER EL,Texas Charter
+18175769031,ILTEXAS NORTH RICHLAND HILLS EL,Texas Charter
+16822503600,ILTEXAS SAGINAW EL,Texas Charter
+13462034126,ILTEXAS WESTPARK EL,Texas Charter
+18173951776,ILTEXAS WOODHAVEN EL,Texas Charter
+12144911500,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Texas Charter
+19722447220,IMAGINE LONE STAR INTERNATIONAL ACADEMY,Texas Charter
+12105193900,IMELDA DAVIS EARLY COLLEGE H S,Texas Charter
+18325350150,INNOVA JOY INSPIRE ACADEMY,Texas Charter
+12106385000,INNOVA MERCY INSPIRE ACADEMY,Texas Charter
+12143917964,INSPIRED VISION ACADEMY EL,Texas Charter
+19722855758,INSPIRED VISION ACADEMY SECONDARY,Texas Charter
+12107389740,IRVING DUAL LANGUAGE ACADEMY,Texas Charter
+12812475801,ISCHOOL HIGH - ATASCOCITA,Texas Charter
+18886444789,ISCHOOL VIRTUAL ACADEMY OF TEXAS,Texas Charter
+12817476701,ISCHOOL-CREEKSIDE,Texas Charter
+19038035400,J L EVERHART MAGNET EL,Texas Charter
+18174600396,JEAN MASSIEU ACADEMY,Texas Charter
+12104386570,JEFFERSON H S,Texas Charter
+18178147900,JOHN T WHITE EL,Texas Charter
+19038035300,JOHNSTON-MCQUEEN EL,Texas Charter
+12109633900,JUBILEE - LAKE VIEW UNIVERSITY PREP,Texas Charter
+19565092690,JUBILEE BROWNSVILLE,Texas Charter
+19567082030,JUBILEE HARLINGEN,Texas Charter
+12106347590,JUBILEE HIGHLAND HILLS,Texas Charter
+13615160840,JUBILEE KINGSVILLE,Texas Charter
+19566414150,JUBILEE LEADERSHIP ACADEMY,Texas Charter
+19567082020,JUBILEE LIVING WAY,Texas Charter
+12102783880,JUBILEE SAN ANTONIO,Texas Charter
+12109633930,JUBILEE SCHOOL OF INNOVATION AND ARTS,Texas Charter
+19034462610,JUDSON STEAM ACADEMY,Texas Charter
+15126483180,KATHERINE ANNE PORTER SCHOOL,Texas Charter
+12107059914,KI CHARTER - AUSTIN,Texas Charter
+12103767929,KI CHARTER - DENTON,Texas Charter
+15123968500,KI CHARTER ACADEMY,Texas Charter
+15125282100,KI CHARTER ACADEMY LIBERTY HILL,Texas Charter
+13253880020,KINGSLAND SCHOOL,Texas Charter
+18322300566,KIPP 3D ACADEMY,Texas Charter
+18323281051,KIPP ACADEMY MIDDLE,Texas Charter
+18322300573,KIPP ACADEMY WEST,Texas Charter
+15126512168,KIPP ALEGRIA PRI,Texas Charter
+12107357300,KIPP ASPIRE ACADEMY,Texas Charter
+15125013640,KIPP AUSTIN ACADEMY OF ARTS & LETTERS,Texas Charter
+15126511918,KIPP AUSTIN BEACON PREP,Texas Charter
+15126512225,KIPP AUSTIN BRAVE,Texas Charter
+15125014969,KIPP AUSTIN COLLEGE PREP,Texas Charter
+15125013586,KIPP AUSTIN COLLEGIATE,Texas Charter
+15125013911,KIPP AUSTIN COMUNIDAD,Texas Charter
+15126512069,KIPP AUSTIN OBRAS,Texas Charter
+12108294200,KIPP CAMINO ACADEMY,Texas Charter
+18322300578,KIPP CLIMB ACADEMY,Texas Charter
+12818793023,KIPP CONNECT HOUSTON PRI,Texas Charter
+12818793100,KIPP EAST END H S,Texas Charter
+12108886601,KIPP ESPERANZA PRI,Texas Charter
+18322300547,KIPP EXPLORE ACADEMY,Texas Charter
+12819000490,KIPP JOURNEY COLLEGIATE SCHOOL,Texas Charter
+12818793056,KIPP JOURNEY PRI,Texas Charter
+18322300567,KIPP LEGACY PREPARATORY,Texas Charter
+18322300564,KIPP LIBERATION COLLEGE PREPARATORY,Texas Charter
+12818793110,KIPP MOSAIC ACADEMY SCHOOL,Texas Charter
+18322300553,KIPP NEXUS MIDDLE,Texas Charter
+19723234240,KIPP OAK CLIFF ACADEMY,Texas Charter
+15129215707,KIPP PASEO PREPARATORY SCHOOL,Texas Charter
+15127663095,KIPP PASEO PRI,Texas Charter
+19723234235,KIPP PLEASANT GROVE LEADERSHIP ACADEMY,Texas Charter
+19723234230,KIPP PLEASANT GROVE PRI,Texas Charter
+12818793000,KIPP SHARP PREP,Texas Charter
+12818793005,KIPP SHARPSTOWN COLLEGE PREP,Texas Charter
+18322300548,KIPP SHINE PREP,Texas Charter
+12105442791,KIPP SOMOS COLLEGIATE,Texas Charter
+12108886513,KIPP SOMOS PRI,Texas Charter
+18322300562,KIPP SPIRIT COLLEGE PREP,Texas Charter
+19723234215,KIPP TRUTH ACADEMY,Texas Charter
+19723234210,KIPP TRUTH EL,Texas Charter
+12108241905,KIPP UN MUNDO PRI,Texas Charter
+18322300572,KIPP UNITY PRI,Texas Charter
+12102908720,KIPP UNIVERSITY PREP H S,Texas Charter
+12149468908,LA ACADEMIA DE ESTRELLAS,Texas Charter
+19155333922,LA FE PREPARATORY SCHOOL,Texas Charter
+18175790852,LAKE GRANBURY ACADEMY,Texas Charter
+14322407300,LAMAR EL,Texas Charter
+12108984210,LAS PALMAS LEADERSHIP SCHOOL FOR GIRLS,Texas Charter
+19033813921,LEAD ACADEMY H S,Texas Charter
+17132224629,LEADERSHIP ACADEMY,Texas Charter
+19722946921,LEADERSHIP PREP SCHOOL,Texas Charter
+19723703650,LEADERSHIP PREP SCHOOL SECONDARY,Texas Charter
+12108984078,LEARN4LIFE,Texas Charter
+14692878537,LEGACY PREP CHARTER ACADEMY MESQUITE WEST CAMPUS,Texas Charter
+14692878532,LEGACY PREPARATORY CHARTER ACADEMY PLANO,Texas Charter
+12106385300,LEGACY RANCH INSPIRE ACADEMY,Texas Charter
+17133960837,LEGACY SCHOOL OF SPORT SCIENCES,Texas Charter
+12104319881,LEGACY TRADITIONAL - BASSE PRI,Texas Charter
+12149562036,LETOT CAMPUS,Texas Charter
+19723166700,LEWISVILLE SCHOOL OF SCIENCE AND TECHNOLOGY,Texas Charter
+19723172470,LEWISVILLE SCHOOL OF SCIENCE AND TECHNOLOGY LOWER,Texas Charter
+14697084444,LIFE H S WAXAHACHIE,Texas Charter
+19729370715,LIFE MIDDLE WAXAHACHIE,Texas Charter
+14697011355,LIFE SCHOOL CARROLLTON,Texas Charter
+19722932825,LIFE SCHOOL CEDAR HILL,Texas Charter
+19722747950,LIFE SCHOOL LANCASTER,Texas Charter
+12146230012,LIFE SCHOOL MOUNTAIN CREEK,Texas Charter
+12143768200,LIFE SCHOOL OAK CLIFF,Texas Charter
+14695529200,LIFE SCHOOL RED OAK,Texas Charter
+12106744100,LIGHTHOUSE EL,Texas Charter
+12102367693,LIGHTHOUSE HIGH,Texas Charter
+19036631301,LONGVIEW H S,Texas Charter
+15125222429,MAGNOLIA MONTESSORI FOR ALL,Texas Charter
+19723041155,MANARA ACADEMY,Texas Charter
+12107389745,MARK TWAIN DUAL LANGUAGE ACADEMY,Texas Charter
+18178153700,MAUDE I LOGAN EL,Texas Charter
+19722259735,MEDLOCK YOUTH VILLAGE,Texas Charter
+15124143284,MENDEZ MIDDLE,Texas Charter
+15126605230,MERIDIAN WORLD SCHOOL LLC,Texas Charter
+12544988738,METHODIST CHILDREN'S HOME,Texas Charter
+17137299712,MEYERPARK EL,Texas Charter
+14326860003,MIDLAND ACADEMY CHARTER SCHOOL,Texas Charter
+14322407500,MILAM EL,Texas Charter
+18178159000,MITCHELL BOULEVARD EL,Texas Charter
+14097616930,MOODY EARLY CHILDHOOD CENTER,Texas Charter
+17136432008,MOUNT CARMEL ACADEMY,Texas Charter
+17132733250,NCI CHARTER SCHOOL WITHOUT WALLS,Texas Charter
+19038035500,NED E WILLIAMS EL,Texas Charter
+17373473929,NEW HEIGHTS,Texas Charter
+18176552255,NEWMAN INTERNATIONAL ACADEMY AT FORT WORTH,Texas Charter
+16822075175,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,Texas Charter
+16822075265,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON GIBBINS,Texas Charter
+16824004010,NEWMAN INTERNATIONAL ACADEMY OF MANSFIELD,Texas Charter
+16822142085,NEWMAN INTERNATIONAL ACADEMY WATAUGA,Texas Charter
+16822075061,NEWMAN INTERNATIONAL AT CEDAR HILL,Texas Charter
+18322328872,NEXUS - WOODLANDS,Texas Charter
+12549394491,NOLAN CREEK SCHOOL,Texas Charter
+17138425650,NORTH CENTRAL EL,Texas Charter
+17139245600,NORTH FOREST EL,Texas Charter
+19722923562,NORTH TEXAS COLLEGIATE ACADEMY-EAST CAMPUS,Texas Charter
+19403831972,NORTH TEXAS COLLEGIATE ACADEMY-NORTH CAMPUS,Texas Charter
+19722213564,NORTH TEXAS COLLEGIATE ACADEMY-SOUTH CAMPUS,Texas Charter
+12108298017,NORTHEAST CAMPUS,Texas Charter
+12143813088,NOVA ACADEMY,Texas Charter
+19728087470,NOVA ACADEMY PRICHARD,Texas Charter
+15122751593,NYOS LAMAR EL,Texas Charter
+15125836967,NYOS LAMAR SECONDARY,Texas Charter
+18303314094,OAKS ACADEMY,Texas Charter
+14097509289,ODYSSEY ACADEMY - GALVESTON,Texas Charter
+14099788015,ODYSSEY ACADEMY - TEXAS CITY,Texas Charter
+12813264555,ODYSSEY ACADEMY - WEBSTER,Texas Charter
+15127500426,OLYMPIA HILLS,Texas Charter
+19036936355,PANOLA CS,Texas Charter
+15126995142,PATHWAYS 3H CAMPUS,Texas Charter
+12547542288,PAUL AND JANE MEYER PUBLIC H S,Texas Charter
+12147495677,PEGASUS CHARTER H S,Texas Charter
+17137846345,PHOENIX SCHOOL AT SOUTHWEST SCHOOLS,Texas Charter
+19723759672,PIONEER TECHNOLOGY (PTAA) FATE,Texas Charter
+19032573920,PIONEER TECHNOLOGY (PTAA) GREENVILLE,Texas Charter
+14694058967,PIONEER TECHNOLOGY AND ARTS ACADEMY NORTH DALLAS,Texas Charter
+12107751132,POR VIDA ACADEMY CHARTER H S,Texas Charter
+13612254240,POR VIDA ACADEMY CORPUS CHRISTI,Texas Charter
+12102991025,POSITIVE SOLUTIONS CHARTER,Texas Charter
+12102062900,PRE-K 4 SAN ANTONIO,Texas Charter
+14326856806,PRE-K ACADEMY AT MIDLAND COLLEGE,Texas Charter
+12107807661,PRELUDE PREPARATORY CHARTER SCHOOL,Texas Charter
+12014020253,PREMIER H S - CORPUS CHRISTI,Texas Charter
+19723491920,PREMIER H S - DESOTO,Texas Charter
